year,region,harvest,anomaly
1879,northern_italy,50,-1.52
1880,northern_italy,41,-0.26
1881,northern_italy,40,-1.06
1882,northern_italy,36,-0.07
1883,northern_italy,52,-0.61
1884,northern_italy,38,-0.22
1752,northern_lorraine,45,0.14
1753,northern_lorraine,36,-0.89
1754,northern_lorraine,46,-0.87
1755,northern_lorraine,38,-0.83
1756,northern_lorraine,53,-0.29
1757,northern_lorraine,33,0.05
1758,northern_lorraine,37,-0.74
1759,northern_lorraine,36,0.32
1760,northern_lorraine,34,-0.21
1761,northern_lorraine,35,0.65
1762,northern_lorraine,33,0.12
1763,northern_lorraine,47,-0.15
1764,northern_lorraine,33,0.4
1765,northern_lorraine,46,-0.03
1766,northern_lorraine,43,0.24
1768,northern_lorraine,48,-0.53
1769,northern_lorraine,44,-0.32
1770,northern_lorraine,50,-0.18
1771,northern_lorraine,38,-1.02
1772,northern_lorraine,43,-0.26
1773,northern_lorraine,44,0.83
1774,northern_lorraine,38,-0.59
1775,northern_lorraine,40,0.9
1776,northern_lorraine,46,-0.25
1777,northern_lorraine,48,-0.62
1778,northern_lorraine,39,-0.1
1779,northern_lorraine,37,1.08
1781,northern_lorraine,26,0.38
1782,northern_lorraine,49,-1.24
1783,northern_lorraine,34,0.01
1784,northern_lorraine,36,-1.76
1785,northern_lorraine,48,-1.68
1786,northern_lorraine,44,-1.7
1787,northern_lorraine,52,-0.31
1788,northern_lorraine,19,-1.08
1789,northern_lorraine,50,-0.39
1793,northern_lorraine,37,0.13
1794,northern_lorraine,30,0.74
1795,northern_lorraine,43,-0.71
1796,northern_lorraine,45,0.02
1797,northern_lorraine,37,0.52
1798,northern_lorraine,30,0.16
1799,northern_lorraine,56,-1.85
1800,northern_lorraine,35,-0.47
1801,northern_lorraine,43,0.19
1802,northern_lorraine,28,-0.3
1803,northern_lorraine,35,-0.92
1804,northern_lorraine,35,-0.35
1805,northern_lorraine,52,-1.38
1806,northern_lorraine,36,-0.28
1807,northern_lorraine,38,-0.66
1808,northern_lorraine,33,-1.15
1809,northern_lorraine,44,-1.32
1810,northern_lorraine,50,-1.26
1811,northern_lorraine,19,0.1
1812,northern_lorraine,47,-1.77
1813,northern_lorraine,53,-0.54
1815,northern_lorraine,41,-0.7
1816,northern_lorraine,55,-1.54
1817,northern_lorraine,52,-0.48
1818,northern_lorraine,33,0.17
1819,northern_lorraine,41,-0.01
1820,northern_lorraine,46,-0.97
1821,northern_lorraine,49,-0.27
1822,northern_lorraine,9,0.78
1823,northern_lorraine,50,-0.66
1824,northern_lorraine,49,0.07
1825,northern_lorraine,34,-0.07
1826,northern_lorraine,39,0.51
1827,northern_lorraine,36,-0.09
1828,northern_lorraine,50,-0.12
1829,northern_lorraine,51,-1.85
1830,northern_lorraine,41,-0.6
1831,northern_lorraine,41,-0.12
1832,northern_lorraine,55,-0.76
1833,northern_lorraine,35,-0.28
1834,northern_lorraine,31,0.51
1835,northern_lorraine,48,-0.55
1836,northern_lorraine,47,-0.57
1837,northern_lorraine,49,-0.94
1838,northern_lorraine,47,-1.75
1839,northern_lorraine,39,-0.69
1840,northern_lorraine,38,-1.02
1841,northern_lorraine,37.5,-0.32
1842,northern_lorraine,26.8,-0.27
1843,northern_lorraine,49.6,-0.19
1844,northern_lorraine,37,-1.2
1845,northern_lorraine,46.6,-1.25
1846,northern_lorraine,21.5,0.26
1847,northern_lorraine,41.7,-0.61
1848,northern_lorraine,41.7,-0.38
1849,northern_lorraine,41.4,-0.71
1850,northern_lorraine,45.7,-0.72
1851,northern_lorraine,50,-0.34
1852,northern_lorraine,43,-0.08
1853,northern_lorraine,42.6,-1
1854,northern_lorraine,38.9,-0.24
1855,northern_lorraine,43.9,-1.43
1856,northern_lorraine,47.9,-0.9
1857,northern_lorraine,33.2,0.23
1858,northern_lorraine,31.3,-0.2
1859,northern_lorraine,30.2,0.48
1860,northern_lorraine,47.4,-0.99
1861,northern_lorraine,35.7,-0.24
1862,northern_lorraine,33,-0.51
1863,northern_lorraine,43.2,0.6
1864,northern_lorraine,42.7,-1.22
1865,northern_lorraine,13,-0.15
1866,northern_lorraine,40.8,-0.08
1867,northern_lorraine,36.7,-0.96
1868,northern_lorraine,14.2,0.55
1869,northern_lorraine,36.9,-0.17
1870,northern_lorraine,32.9,-0.93
1871,northern_lorraine,43.2,-1.47
1872,northern_lorraine,43.7,0.52
1873,northern_lorraine,43,0.06
1874,northern_lorraine,33.8,-0.22
1875,northern_lorraine,37.8,-1.02
1876,northern_lorraine,45.7,-0.55
1877,northern_lorraine,34.6,-0.56
1878,northern_lorraine,42.4,-0.24
1879,northern_lorraine,46.7,-1.52
1880,northern_lorraine,34,-0.26
1881,northern_lorraine,36,-1.06
1882,northern_lorraine,46,-0.07
1883,northern_lorraine,40,-0.61
1884,northern_lorraine,33,-0.22
1796,northern_rhone_valley,30,0.02
1797,northern_rhone_valley,29,0.52
1798,northern_rhone_valley,21,0.16
1799,northern_rhone_valley,41,-1.85
1800,northern_rhone_valley,30,-0.47
1801,northern_rhone_valley,18,0.19
1802,northern_rhone_valley,18,-0.3
1803,northern_rhone_valley,24,-0.92
1804,northern_rhone_valley,33,-0.35
1805,northern_rhone_valley,45,-1.38
1806,northern_rhone_valley,36,-0.28
1807,northern_rhone_valley,30,-0.66
1808,northern_rhone_valley,30,-1.15
1809,northern_rhone_valley,46,-1.32
1810,northern_rhone_valley,31,-1.26
1811,northern_rhone_valley,23,0.1
1812,northern_rhone_valley,42,-1.77
1813,northern_rhone_valley,35,-0.54
1814,northern_rhone_valley,42,-1.66
1815,northern_rhone_valley,30,-0.7
1816,northern_rhone_valley,61,-1.54
1817,northern_rhone_valley,37,-0.48
1818,northern_rhone_valley,33,0.17
1819,northern_rhone_valley,33,-0.01
1820,northern_rhone_valley,32,-0.97
1821,northern_rhone_valley,35,-0.27
1822,northern_rhone_valley,9,0.78
1823,northern_rhone_valley,43,-0.66
1824,northern_rhone_valley,42,0.07
1825,northern_rhone_valley,12,-0.07
1826,northern_rhone_valley,31,0.51
1827,northern_rhone_valley,31,-0.09
1828,northern_rhone_valley,25,-0.12
1829,northern_rhone_valley,35,-1.85
1830,northern_rhone_valley,27,-0.6
1831,northern_rhone_valley,25,-0.12
1832,northern_rhone_valley,39,-0.76
1833,northern_rhone_valley,31,-0.28
1834,northern_rhone_valley,20,0.51
1835,northern_rhone_valley,31,-0.55
1836,northern_rhone_valley,38,-0.57
1837,northern_rhone_valley,37,-0.94
1838,northern_rhone_valley,36,-1.75
1839,northern_rhone_valley,32,-0.69
1840,northern_rhone_valley,26,-1.02
1841,northern_rhone_valley,27,-0.32
1842,northern_rhone_valley,20,-0.27
1843,northern_rhone_valley,38,-0.19
1844,northern_rhone_valley,23,-1.2
1845,northern_rhone_valley,32,-1.25
1846,northern_rhone_valley,14,0.26
1847,northern_rhone_valley,28,-0.61
1848,northern_rhone_valley,26,-0.38
1849,northern_rhone_valley,25,-0.71
1850,northern_rhone_valley,37,-0.72
1851,northern_rhone_valley,38,-0.34
1852,northern_rhone_valley,27,-0.08
1853,northern_rhone_valley,38,-1
1854,northern_rhone_valley,25,-0.24
1855,northern_rhone_valley,31,-1.43
1856,northern_rhone_valley,30,-0.9
1857,northern_rhone_valley,23,0.23
1858,northern_rhone_valley,20,-0.2
1859,northern_rhone_valley,26,0.48
1860,northern_rhone_valley,34,-0.99
1861,northern_rhone_valley,25,-0.24
1862,northern_rhone_valley,25,-0.51
1863,northern_rhone_valley,21,0.6
1864,northern_rhone_valley,22,-1.22
1865,northern_rhone_valley,10,-0.15
1866,northern_rhone_valley,20,-0.08
1867,northern_rhone_valley,20,-0.96
1868,northern_rhone_valley,15,0.55
1869,northern_rhone_valley,25,-0.17
1870,northern_rhone_valley,17,-0.93
1871,northern_rhone_valley,27,-1.47
1872,northern_rhone_valley,32,0.52
1873,northern_rhone_valley,24,0.06
1874,northern_rhone_valley,23,-0.22
1875,northern_rhone_valley,20,-1.02
1876,northern_rhone_valley,34,-0.55
1877,northern_rhone_valley,25,-0.56
1878,northern_rhone_valley,25,-0.24
1964,northern_rhone_valley,28,-0.08
1965,northern_rhone_valley,27,-0.69
1966,northern_rhone_valley,28,-0.04
1967,northern_rhone_valley,37,0.22
1968,northern_rhone_valley,37,-0.2
1969,northern_rhone_valley,36,-0.38
1970,northern_rhone_valley,40,-0.32
1971,northern_rhone_valley,32,-0.08
1972,northern_rhone_valley,42,-0.25
1973,northern_rhone_valley,29,-0.01
1974,northern_rhone_valley,44,0.14
1975,northern_rhone_valley,41,0.39
1976,northern_rhone_valley,23,-0.08
1977,northern_rhone_valley,40,0.07
1978,northern_rhone_valley,40,-0.46
1979,northern_rhone_valley,31,-0.28
1980,northern_rhone_valley,31,-0.46
1981,northern_rhone_valley,45,-0.05
1982,northern_rhone_valley,31,0.51
1983,northern_rhone_valley,19,0.64
1984,northern_rhone_valley,32,-0.1
1985,northern_rhone_valley,43,-0.43
1986,northern_rhone_valley,36,-0.1
1987,northern_rhone_valley,33,-0.26
1988,northern_rhone_valley,39,0.67
1989,northern_rhone_valley,28,1.18
1990,northern_rhone_valley,16,1.22
1991,northern_rhone_valley,26,0.21
1992,northern_rhone_valley,32,0.89
1993,northern_rhone_valley,24,0.26
1994,northern_rhone_valley,26,1.32
1995,northern_rhone_valley,20,0.87
1996,northern_rhone_valley,27,-0.22
1997,northern_rhone_valley,17,0.98
1998,northern_rhone_valley,25,0.76
1999,northern_rhone_valley,24,1.09
2000,northern_rhone_valley,18,1.21
2001,northern_rhone_valley,27,0.95
2002,northern_rhone_valley,17,1.22
2003,northern_rhone_valley,-2,1.28
2004,northern_rhone_valley,23,0.79
2005,northern_rhone_valley,21,0.75
2006,northern_rhone_valley,20,1.29
1713,savoie,54.5,-0.87
1714,savoie,50,-0.07
1715,savoie,43,-0.07
1716,savoie,55,-1.13
1717,savoie,39,-0.47
1718,savoie,20,-0.22
1719,savoie,33,-0.02
1720,savoie,52,-0.41
1721,savoie,50.5,-0.6
1722,savoie,40,0.79
1723,savoie,48,1.46
1724,savoie,44.5,-0.2
1725,savoie,56,-0.15
1726,savoie,34,-0.06
1727,savoie,33,0.79
1728,savoie,35.5,-0.31
1729,savoie,45,-0.45
1730,savoie,50,0.33
1731,savoie,43,-0.26
1732,savoie,48.5,-0.33
1733,savoie,49.5,0.61
1735,savoie,52,0.46
1736,savoie,43,0.35
1737,savoie,40.5,0.32
1738,savoie,48,0.49
1739,savoie,40,-0.79
1740,savoie,54,-2.47
1741,savoie,46.5,-0.19
1742,savoie,38,-1.27
1743,savoie,49.5,0.52
1744,savoie,50.5,-0.59
1745,savoie,45,-0.78
1746,savoie,43,-0.67
1747,savoie,45,-0.18
1748,savoie,45.5,-0.36
1749,savoie,46.5,-0.13
1750,savoie,46.5,0.31
1751,savoie,51.5,-0.91
1752,savoie,45,0.14
1753,savoie,49.5,-0.89
1754,savoie,48.5,-0.87
1755,savoie,48,-0.83
1756,savoie,46,-0.29
1757,savoie,44.5,0.05
1758,savoie,44.5,-0.74
1759,savoie,39.5,0.32
1760,savoie,40.5,-0.21
1761,savoie,46,0.65
1763,savoie,45,-0.15
1764,savoie,43.5,0.4
1765,savoie,49,-0.03
1766,savoie,42,0.24
1767,savoie,50,-0.43
1768,savoie,45,-0.53
1769,savoie,48.5,-0.32
1770,savoie,56,-0.18
1771,savoie,42,-1.02
1772,savoie,40.5,-0.26
1773,savoie,49.5,0.83
1774,savoie,45,-0.59
1775,savoie,47.5,0.9
1776,savoie,49,-0.25
1777,savoie,48,-0.62
1778,savoie,47,-0.1
1779,savoie,43.5,1.08
1780,savoie,44.5,-0.59
1781,savoie,33,0.38
1782,savoie,49,-1.24
1783,savoie,45,0.01
1784,savoie,40,-1.76
1785,savoie,45.5,-1.68
1786,savoie,44,-1.7
1787,savoie,50,-0.31
1788,savoie,40.5,-1.08
1789,savoie,47.5,-0.39
1790,savoie,49,-0.24
1833,savoie,32,-0.28
1834,savoie,23,0.51
1835,savoie,46,-0.55
1836,savoie,43,-0.57
1837,savoie,46,-0.94
1838,savoie,42,-1.75
1839,savoie,40,-0.69
1840,savoie,39,-1.02
1841,savoie,42,-0.32
1842,savoie,34,-0.27
1843,savoie,54,-0.19
1844,savoie,39,-1.2
1845,savoie,51,-1.25
1846,savoie,24,0.26
1847,savoie,43,-0.61
1848,savoie,41,-0.38
1849,savoie,33,-0.71
1850,savoie,45,-0.72
1851,savoie,51,-0.34
1852,savoie,43,-0.08
1853,savoie,50,-1
1854,savoie,35,-0.24
1855,savoie,40,-1.43
1856,savoie,42,-0.9
1857,savoie,38,0.23
1858,savoie,31,-0.2
1859,savoie,34,0.48
1860,savoie,46,-0.99
1861,savoie,40,-0.24
1862,savoie,29,-0.51
1863,savoie,35,0.6
1864,savoie,36,-1.22
1865,savoie,21,-0.15
1866,savoie,33,-0.08
1867,savoie,38,-0.96
1868,savoie,22,0.55
1869,savoie,30,-0.17
1870,savoie,22,-0.93
1871,savoie,52,-1.47
1872,savoie,39,0.52
1873,savoie,41,0.06
1874,savoie,33,-0.22
1875,savoie,37,-1.02
1876,savoie,47,-0.55
1877,savoie,43,-0.56
1878,savoie,56,-0.24
1879,savoie,58,-1.52
1760,southern_lorraine,36,-0.21
1761,southern_lorraine,24,0.65
1762,southern_lorraine,30,0.12
1764,southern_lorraine,24,0.4
1765,southern_lorraine,46,-0.03
1766,southern_lorraine,37,0.24
1769,southern_lorraine,40,-0.32
1770,southern_lorraine,59,-0.18
1771,southern_lorraine,44,-1.02
1772,southern_lorraine,43,-0.26
1773,southern_lorraine,51,0.83
1774,southern_lorraine,41,-0.59
1775,southern_lorraine,40,0.9
1776,southern_lorraine,44,-0.25
1777,southern_lorraine,50,-0.62
1778,southern_lorraine,38,-0.1
1779,southern_lorraine,30,1.08
1780,southern_lorraine,29,-0.59
1781,southern_lorraine,26,0.38
1782,southern_lorraine,54,-1.24
1786,southern_lorraine,41,-1.7
1787,southern_lorraine,47,-0.31
1789,southern_lorraine,49,-0.39
1790,southern_lorraine,38,-0.24
1791,southern_lorraine,26,0.31
1792,southern_lorraine,46,-0.43
1793,southern_lorraine,25,0.13
1794,southern_lorraine,23,0.74
1797,southern_lorraine,35,0.52
1800,southern_lorraine,28,-0.47
1801,southern_lorraine,35,0.19
1802,southern_lorraine,27.9,-0.3
1803,southern_lorraine,27,-0.92
1804,southern_lorraine,25,-0.35
1805,southern_lorraine,53.8,-1.38
1806,southern_lorraine,31.8,-0.28
1807,southern_lorraine,24.5,-0.66
1808,southern_lorraine,27,-1.15
1809,southern_lorraine,46.9,-1.32
1810,southern_lorraine,36.8,-1.26
1811,southern_lorraine,26,0.1
1812,southern_lorraine,38.4,-1.77
1813,southern_lorraine,40,-0.54
1814,southern_lorraine,40,-1.66
1815,southern_lorraine,32,-0.7
1816,southern_lorraine,70,-1.54
1817,southern_lorraine,57,-0.48
1818,southern_lorraine,28,0.17
1819,southern_lorraine,27,-0.01
1820,southern_lorraine,30.4,-0.97
1821,southern_lorraine,51,-0.27
1822,southern_lorraine,3,0.78
1823,southern_lorraine,35.9,-0.66
1824,southern_lorraine,46.4,0.07
1825,southern_lorraine,23.5,-0.07
1826,southern_lorraine,32,0.51
1827,southern_lorraine,31,-0.09
1828,southern_lorraine,30.9,-0.12
1829,southern_lorraine,47,-1.85
1830,southern_lorraine,30.8,-0.6
1831,southern_lorraine,37.8,-0.12
1832,southern_lorraine,38,-0.76
1833,southern_lorraine,30,-0.28
1834,southern_lorraine,23,0.51
1835,southern_lorraine,36.8,-0.55
1836,southern_lorraine,41,-0.57
1837,southern_lorraine,37.9,-0.94
1838,southern_lorraine,43.9,-1.75
1839,southern_lorraine,33.4,-0.69
1840,southern_lorraine,29.4,-1.02
1841,southern_lorraine,30,-0.32
1842,southern_lorraine,16.9,-0.27
1843,southern_lorraine,49,-0.19
1844,southern_lorraine,28.4,-1.2
1845,southern_lorraine,48.8,-1.25
1846,southern_lorraine,20.8,0.26
1847,southern_lorraine,38.8,-0.61
1848,southern_lorraine,35.8,-0.38
1849,southern_lorraine,34.8,-0.71
1850,southern_lorraine,46,-0.72
1851,southern_lorraine,51,-0.34
1852,southern_lorraine,36,-0.08
1853,southern_lorraine,48.8,-1
1854,southern_lorraine,36.9,-0.24
1855,southern_lorraine,38,-1.43
1856,southern_lorraine,46,-0.9
1857,southern_lorraine,21,0.23
1858,southern_lorraine,27,-0.2
1859,southern_lorraine,24,0.48
1860,southern_lorraine,50,-0.99
1861,southern_lorraine,30,-0.24
1862,southern_lorraine,26,-0.51
1863,southern_lorraine,21,0.6
1864,southern_lorraine,38,-1.22
1865,southern_lorraine,13,-0.15
1866,southern_lorraine,37.5,-0.08
1867,southern_lorraine,32.5,-0.96
1868,southern_lorraine,15.5,0.55
1869,southern_lorraine,28.5,-0.17
1870,southern_lorraine,26.4,-0.93
1871,southern_lorraine,44,-1.47
1872,southern_lorraine,37.5,0.52
1873,southern_lorraine,33.5,0.06
1874,southern_lorraine,31,-0.22
1875,southern_lorraine,25,-1.02
1876,southern_lorraine,45,-0.55
1877,southern_lorraine,41,-0.56
1878,southern_lorraine,42,-0.24
1879,southern_lorraine,53.8,-1.52
1655,southern_rhone_valley,20.2,-0.13
1656,southern_rhone_valley,14.4,0
1657,southern_rhone_valley,15,0.18
1659,southern_rhone_valley,5.1,-0.21
1661,southern_rhone_valley,9,0.45
1662,southern_rhone_valley,14.4,0.13
1663,southern_rhone_valley,25.5,-0.44
1664,southern_rhone_valley,15,-0.52
1666,southern_rhone_valley,17,0.03
1667,southern_rhone_valley,25.7,-0.65
1668,southern_rhone_valley,15.5,0.07
1669,southern_rhone_valley,16.5,-0.3
1670,southern_rhone_valley,13,-0.41
1671,southern_rhone_valley,17.2,-0.21
1672,southern_rhone_valley,21.7,-0.69
1673,southern_rhone_valley,31.2,-1.13
1674,southern_rhone_valley,20,-1.39
1675,southern_rhone_valley,41,-1.63
1676,southern_rhone_valley,23.4,-0.67
1677,southern_rhone_valley,24.9,-0.73
1678,southern_rhone_valley,23.2,-1.06
1679,southern_rhone_valley,26,-0.75
1680,southern_rhone_valley,17.9,-0.62
1681,southern_rhone_valley,18.1,-0.76
1682,southern_rhone_valley,25.5,-0.46
1683,southern_rhone_valley,22.5,-1.02
1684,southern_rhone_valley,19.9,-1.56
1685,southern_rhone_valley,19.7,-0.35
1686,southern_rhone_valley,19,0.64
1687,southern_rhone_valley,25,-0.52
1688,southern_rhone_valley,31.7,-1.65
1689,southern_rhone_valley,26,-0.95
1690,southern_rhone_valley,32.1,-0.57
1691,southern_rhone_valley,21.9,-1.34
1692,southern_rhone_valley,29.2,-1.78
1693,southern_rhone_valley,26.5,-1.04
1694,southern_rhone_valley,19.4,-1.84
1695,southern_rhone_valley,30.9,-2.22
1696,southern_rhone_valley,25.2,-0.99
1697,southern_rhone_valley,24.5,-1.46
1698,southern_rhone_valley,38,-1.84
1699,southern_rhone_valley,29.5,-0.68
1700,southern_rhone_valley,30.5,-0.91
1701,southern_rhone_valley,34,-0.76
1702,southern_rhone_valley,29.5,-1.4
1703,southern_rhone_valley,27,-1.21
1704,southern_rhone_valley,22,-0.44
1705,southern_rhone_valley,31.7,-0.76
1706,southern_rhone_valley,18,-1.04
1707,southern_rhone_valley,28,-1.3
1708,southern_rhone_valley,28,-1.51
1709,southern_rhone_valley,31,-2.13
1710,southern_rhone_valley,18.5,-0.02
1711,southern_rhone_valley,20.7,-0.09
1712,southern_rhone_valley,18.7,-0.37
1713,southern_rhone_valley,32,-0.87
1714,southern_rhone_valley,29.7,-0.07
1715,southern_rhone_valley,21.7,-0.07
1716,southern_rhone_valley,33.7,-1.13
1717,southern_rhone_valley,27.7,-0.47
1718,southern_rhone_valley,10.7,-0.22
1719,southern_rhone_valley,16.2,-0.02
1720,southern_rhone_valley,32,-0.41
1721,southern_rhone_valley,31,-0.6
1722,southern_rhone_valley,27.6,0.79
1723,southern_rhone_valley,27.6,1.46
1724,southern_rhone_valley,19.5,-0.2
1725,southern_rhone_valley,32,-0.15
1726,southern_rhone_valley,30,-0.06
1727,southern_rhone_valley,18.8,0.79
1728,southern_rhone_valley,16.9,-0.31
1729,southern_rhone_valley,28.5,-0.45
1730,southern_rhone_valley,26.2,0.33
1731,southern_rhone_valley,28.1,-0.26
1732,southern_rhone_valley,29.6,-0.33
1733,southern_rhone_valley,30.6,0.61
1734,southern_rhone_valley,13.6,0.28
1735,southern_rhone_valley,33,0.46
1736,southern_rhone_valley,23,0.35
1737,southern_rhone_valley,23,0.32
1738,southern_rhone_valley,30.1,0.49
1739,southern_rhone_valley,29,-0.79
1740,southern_rhone_valley,40.7,-2.47
1742,southern_rhone_valley,27.3,-1.27
1743,southern_rhone_valley,35.6,0.52
1744,southern_rhone_valley,35.9,-0.59
1745,southern_rhone_valley,22.4,-0.78
1746,southern_rhone_valley,33,-0.67
1747,southern_rhone_valley,24,-0.18
1748,southern_rhone_valley,29.3,-0.36
1749,southern_rhone_valley,35,-0.13
1750,southern_rhone_valley,26.5,0.31
1751,southern_rhone_valley,30,-0.91
1752,southern_rhone_valley,28,0.14
1753,southern_rhone_valley,30,-0.89
1754,southern_rhone_valley,29,-0.87
1755,southern_rhone_valley,28,-0.83
1756,southern_rhone_valley,34,-0.29
1757,southern_rhone_valley,31.6,0.05
1758,southern_rhone_valley,32.1,-0.74
1759,southern_rhone_valley,31.8,0.32
1760,southern_rhone_valley,29,-0.21
1761,southern_rhone_valley,29.7,0.65
1762,southern_rhone_valley,27.6,0.12
1763,southern_rhone_valley,29.3,-0.15
1764,southern_rhone_valley,29.5,0.4
1765,southern_rhone_valley,31,-0.03
1766,southern_rhone_valley,29.6,0.24
1767,southern_rhone_valley,31.6,-0.43
1768,southern_rhone_valley,29.9,-0.53
1769,southern_rhone_valley,36.2,-0.32
1770,southern_rhone_valley,39.3,-0.18
1771,southern_rhone_valley,35.6,-1.02
1772,southern_rhone_valley,27.6,-0.26
1773,southern_rhone_valley,40.9,0.83
1774,southern_rhone_valley,31.9,-0.59
1775,southern_rhone_valley,31,0.9
1776,southern_rhone_valley,30.9,-0.25
1777,southern_rhone_valley,33.7,-0.62
1778,southern_rhone_valley,27,-0.1
1779,southern_rhone_valley,28.6,1.08
1780,southern_rhone_valley,30.6,-0.59
1781,southern_rhone_valley,27,0.38
1782,southern_rhone_valley,35,-1.24
1783,southern_rhone_valley,31,0.01
1784,southern_rhone_valley,24.5,-1.76
1785,southern_rhone_valley,36,-1.68
1786,southern_rhone_valley,35.5,-1.7
1787,southern_rhone_valley,41.5,-0.31
1788,southern_rhone_valley,23.5,-1.08
1789,southern_rhone_valley,37.3,-0.39
1790,southern_rhone_valley,38,-0.24
1792,southern_rhone_valley,30.8,-0.43
1793,southern_rhone_valley,37.5,0.13
1794,southern_rhone_valley,36.3,0.74
1795,southern_rhone_valley,31.6,-0.71
1799,southern_rhone_valley,26.6,-1.85
1800,southern_rhone_valley,18.6,-0.47
1801,southern_rhone_valley,22.6,0.19
1802,southern_rhone_valley,26.6,-0.3
1804,southern_rhone_valley,32.5,-0.35
1805,southern_rhone_valley,43.5,-1.38
1806,southern_rhone_valley,38.3,-0.28
1807,southern_rhone_valley,28,-0.66
1808,southern_rhone_valley,40,-1.15
1809,southern_rhone_valley,48.7,-1.32
1810,southern_rhone_valley,32.5,-1.26
1811,southern_rhone_valley,20.5,0.1
1812,southern_rhone_valley,36.6,-1.77
1813,southern_rhone_valley,35.6,-0.54
1814,southern_rhone_valley,41.6,-1.66
1815,southern_rhone_valley,26.6,-0.7
1816,southern_rhone_valley,49.4,-1.54
1817,southern_rhone_valley,33,-0.48
1818,southern_rhone_valley,32.6,0.17
1819,southern_rhone_valley,29.5,-0.01
1820,southern_rhone_valley,25.3,-0.97
1821,southern_rhone_valley,39,-0.27
1822,southern_rhone_valley,12,0.78
1823,southern_rhone_valley,34.3,-0.66
1824,southern_rhone_valley,43.1,0.07
1825,southern_rhone_valley,26.5,-0.07
1826,southern_rhone_valley,31.8,0.51
1827,southern_rhone_valley,27.1,-0.09
1828,southern_rhone_valley,21.1,-0.12
1829,southern_rhone_valley,37.1,-1.85
1830,southern_rhone_valley,25.3,-0.6
1831,southern_rhone_valley,25.1,-0.12
1832,southern_rhone_valley,34.6,-0.76
1833,southern_rhone_valley,25.9,-0.28
1834,southern_rhone_valley,26,0.51
1835,southern_rhone_valley,38.6,-0.55
1836,southern_rhone_valley,32.7,-0.57
1837,southern_rhone_valley,34.3,-0.94
1838,southern_rhone_valley,37.4,-1.75
1839,southern_rhone_valley,34.1,-0.69
1840,southern_rhone_valley,31.4,-1.02
1841,southern_rhone_valley,27.1,-0.32
1842,southern_rhone_valley,28.3,-0.27
1843,southern_rhone_valley,39.8,-0.19
1844,southern_rhone_valley,28.2,-1.2
1845,southern_rhone_valley,37.1,-1.25
1846,southern_rhone_valley,22.6,0.26
1847,southern_rhone_valley,26.8,-0.61
1848,southern_rhone_valley,27.1,-0.38
1849,southern_rhone_valley,29,-0.71
1850,southern_rhone_valley,34,-0.72
1851,southern_rhone_valley,38.1,-0.34
1852,southern_rhone_valley,34.5,-0.08
1853,southern_rhone_valley,39.4,-1
1854,southern_rhone_valley,25.5,-0.24
1855,southern_rhone_valley,29.1,-1.43
1856,southern_rhone_valley,35,-0.9
1857,southern_rhone_valley,32.1,0.23
1858,southern_rhone_valley,24.4,-0.2
1859,southern_rhone_valley,23.9,0.48
1860,southern_rhone_valley,34.4,-0.99
1861,southern_rhone_valley,28.7,-0.24
1862,southern_rhone_valley,22.5,-0.51
1863,southern_rhone_valley,22.5,0.6
1864,southern_rhone_valley,20.1,-1.22
1865,southern_rhone_valley,21.6,-0.15
1866,southern_rhone_valley,29.1,-0.08
1867,southern_rhone_valley,20.1,-0.96
1868,southern_rhone_valley,17.1,0.55
1869,southern_rhone_valley,17.3,-0.17
1870,southern_rhone_valley,17.1,-0.93
1871,southern_rhone_valley,20.1,-1.47
1872,southern_rhone_valley,22.1,0.52
1873,southern_rhone_valley,22.1,0.06
1874,southern_rhone_valley,20.1,-0.22
1875,southern_rhone_valley,18.1,-1.02
1876,southern_rhone_valley,21.1,-0.55
1877,southern_rhone_valley,19.1,-0.56
1878,southern_rhone_valley,19.1,-0.24
1879,southern_rhone_valley,22.1,-1.52
1880,southern_rhone_valley,30.1,-0.26
1881,southern_rhone_valley,19.4,-1.06
1882,southern_rhone_valley,33.4,-0.07
1883,southern_rhone_valley,35.6,-0.61
1884,southern_rhone_valley,30.1,-0.22
1885,southern_rhone_valley,38.9,-0.73
1886,southern_rhone_valley,29.3,-0.44
1887,southern_rhone_valley,26.2,-0.93
1888,southern_rhone_valley,35.7,-1.59
1889,southern_rhone_valley,27.6,-0.87
1890,southern_rhone_valley,47.6,-0.69
1891,southern_rhone_valley,36.4,-0.78
1892,southern_rhone_valley,32.7,-0.9
1893,southern_rhone_valley,29.6,-0.5
1894,southern_rhone_valley,35.6,-0.07
1895,southern_rhone_valley,32.8,-0.74
1896,southern_rhone_valley,33.8,-0.49
1897,southern_rhone_valley,32.6,-0.08
1898,southern_rhone_valley,30.7,0.2
1899,southern_rhone_valley,31,-0.14
1900,southern_rhone_valley,36.6,-0.08
1901,southern_rhone_valley,36.4,-0.53
1902,southern_rhone_valley,43,-1.11
1903,southern_rhone_valley,46,-0.1
1904,southern_rhone_valley,24.6,-0.16
1905,southern_rhone_valley,26.6,-0.35
1906,southern_rhone_valley,30.6,-0.01
1907,southern_rhone_valley,38.3,-0.58
1908,southern_rhone_valley,30.9,-0.7
1909,southern_rhone_valley,31.3,-1.07
1910,southern_rhone_valley,28.3,-0.14
1911,southern_rhone_valley,13.3,0.38
1912,southern_rhone_valley,29.9,-0.54
1915,southern_rhone_valley,23.3,-0.78
